,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
14,"RT @miob1781: @wenig_worte ""Wenn wir zurückschauen auf die Russische Grippe vor 120, 130 Jahren - wir nehmen heute an, dass es ein Coronavi…",2021-02-20 17:58:28,1363186271724703744,Kerstin,me_for_earth,1213274423064547329,Berlin,,"❤ Wir sind Antifa. ❤
#LeaveNoOneBehind
#TeamWissenschaft
#YesToNoCovid",False,720,2118,113187,85519,3,2020-01-04 01:42:30,https://pbs.twimg.com/profile_images/1213591585247510529/mre-Xa1i_normal.jpg,True,False
15,"New Zealand begins Covid vaccine rollout, starting with border workers | Coronavirus | The Guardian https://t.co/htgCjVsnDC",2021-02-20 17:58:28,1363186269996658692,Carmen Shier,CarmenShier,987742428,,,"My life is governed by science, logic and reason. I love crafting. I’m a mother of 3. Life long liberal and proud of it.",False,172,615,34291,39730,1,2012-12-04 01:00:43,https://pbs.twimg.com/profile_images/1260204284307742721/PZLwpVPQ_normal.jpg,True,False
16,"RT @politico: President Joe Biden’s presidency hinges in large part on his success in handling the pandemic. But nearly a month into power,…",2021-02-20 17:58:28,1363186269967306763,onceayankee,onceayankee55,131204438,"Tallahassee, FL, USA",,"Physical Therapist & USSF & USC licensed soccer coach. I played college ice hockey (& rugby), at Miami of Ohio. Former professional ice hockey referee",False,2991,4623,224093,188664,5,2010-04-09 15:47:59,https://pbs.twimg.com/profile_images/1282706160500518920/3ZKKdsjK_normal.jpg,False,False
17,"RT @odonnellmaria: Hugo Moyano confirmó a @marianoemartin que él, su mujer y el hijo de ambos, de 20 años, se vacunaron contra el coronavir…",2021-02-20 17:58:27,1363186268939689984,lavidaesbella,estelascarione,4105049614,"Entre Ríos, Argentina",,"Abuela, jubilada, disfruto la alegria de vivir en familia. Mis hijos y nietos, lo mejor que Dios me dió.",False,3492,4986,162778,183602,6,2015-11-03 14:04:45,https://pbs.twimg.com/profile_images/670378397349117953/_Y6PcuPi_normal.jpg,True,False
18,"RT @TexasTribune: After this week’s storm delayed the delivery of hundreds of thousands of COVID-19 vaccines, Texas will receive nearly 600…",2021-02-20 17:58:27,1363186264975974402,Gale L Childers,GLChilders,62894404,"Houston, TX",,,False,77,182,3301,3450,1,2009-08-04 18:47:56,https://pbs.twimg.com/profile_images/595048037883359233/AJQkq40__normal.jpg,False,False
19,#kinderen #ophokplicht #coronavirus #kabinet #regering https://t.co/6sYss83kby,2021-02-20 17:58:26,1363186264535691268,Kees Verwoert,kverwoert1,3360256055,,,,False,55,397,1338,1226,0,2015-07-05 09:35:20,https://pbs.twimg.com/profile_images/617706379017633796/K4khKnBH_normal.jpg,True,False
20,@fugioutliberem @keatssycamore Try to see if they can use v-safe to report the side effects: https://t.co/RDgxZ6BxCs https://t.co/0xM4fn86zC,2021-02-20 17:58:26,1363186263877058561,putridities 🙂,putridities,105402879,,,"Phrasemonger, fearmonger, fastest walker ever seen",False,290,262,86955,5831,8,2010-01-16 07:05:02,https://pbs.twimg.com/profile_images/1361420397388828672/GHvWDMNY_normal.jpg,False,False
21,"@UltVioletRae @ComradeCutie Believed to be Coronavirus is quite the statement

Not the ""going viral"" I'm thinking of, that's for sure 😬",2021-02-20 17:58:26,1363186263478648835,Trako💥,TrakoZG,401178082,BlackLivesMatter,,"IT Demon | Computer Surgeon | Technology Whisperer | 
Bad Movie Connoisseur | Sci-Fi Buff | Horror Film Empath 

{They/He} 

also at @trako@mastodon.social",False,592,1950,202393,95887,43,2011-10-30 05:16:56,https://pbs.twimg.com/profile_images/1058744224617717762/uAbvXghU_normal.jpg,False,False
22,"RT @doctimcook: Lots of interest in ambulance staff and risk of COVID today

Our December analysis of @ONS data in @HSJnews confirmed ambul…",2021-02-20 17:58:25,1363186260328734721,WelshGP,gp_welsh,1232094583372341254,"Wales, United Kingdom",,GP.  Wales.  The clue’s in the name.,False,279,345,7356,3592,2,2020-02-25 00:07:05,https://pbs.twimg.com/profile_images/1362502972505210882/Yl2Lf77o_normal.jpg,True,False
23,"RT @Agencia_Andina: #AndinaEnglish Peru: Coronavirus cases total 1,269,523; 1,169,648 have been discharged https://t.co/GItiXEeuO7 https://…",2021-02-20 17:58:25,1363186260236500992,🎃 Fashionista1k 🎃 (New York) 🗽,FASHIONISTA1K,260625150,"New York, Estados Unidos",https://t.co/Ao9Qt17ZRC,"Hola amigos desde New York hoy, les saluda un soldado más de Alianza Lima, somos el planeta, somos el futuro, estamos en Facebook , Instagram, Youtube y TikTok.",False,1529,3717,14527,42387,7,2011-03-04 07:27:30,https://pbs.twimg.com/profile_images/1288748083996655617/3pkQwYny_normal.jpg,False,False
24,RT @Milenio: Hugo López-Gatell da positivo a coronavirus https://t.co/ZVLtc7xg7V https://t.co/GMlrZO0u4v,2021-02-20 17:58:25,1363186259468775427,LEO ROSAS,Leogon25,258827457,,,,False,23,140,8,674,0,2011-02-28 15:54:31,https://pbs.twimg.com/profile_images/1259601869/judo_215725_normal.jpg,True,False
25,RT @tagesschau: Folge der Coronakrise: Generation Nichtschwimmer? https://t.co/hlZQO183ur #Coronavirus #Schwimmen #Kinder,2021-02-20 17:58:25,1363186259338887170,🎲Pitbull-Mama at home🎲 🐾🐾🐶🐱,Kunstlinse,82863511,"Hamm, NRW, Deutschland",https://t.co/7yFUE2d2AQ,"Rheinländerin, Fotos, Bücher, Snooker, Musik, Kaffee&Tee, Kochen, Tiere, kann selbst denken, Tyketto & Hardrock, Dr. Who,  #NoNazis #NoAfD",False,377,245,321667,61601,11,2009-10-16 12:21:22,https://pbs.twimg.com/profile_images/1103397512109584389/N-5OKNjD_normal.jpg,False,False
26,"RT @Mippcivzla: 📌 𝙄𝙣𝙛𝙤́𝙧𝙢𝙖𝙩𝙚 🧬 

Reduce el riesgo de infección del Coronavirus (Covid-19) con las siguientes medidas  al ir en un vehículo…",2021-02-20 17:58:24,1363186255375314949,Yoselin Kelly Escorcia,YoselinKellyEs1,1341766942034714625,"San Francisco, Estado Zulia.",https://t.co/1FzxsVJRZG,"Venezolana, Estudiante Universitaria de la Carrera Ingeniería en Gas.",False,372,687,465,12292,0,2020-12-23 15:26:12,https://pbs.twimg.com/profile_images/1341767562351308809/VJHofzsK_normal.jpg,True,False
27,"RT @latinus_us: Hugo López-Gatell, subsecretario de Salud, da positivo a #COVID19. #Coronavirus
#Latinus #InformaciónParaTi 
https://t.co/C…",2021-02-20 17:58:24,1363186254393794560,Dan,danurgell,1007805438,"Tabasco, México",,Seguimos en casa 👤,False,552,1326,36247,25442,11,2012-12-13 02:25:03,https://pbs.twimg.com/profile_images/1347714508899422211/cyr9rNyx_normal.jpg,False,False
28,@BorisJohnson @MattHancock #coronavirus #COVID19 #BorisJohnson @piersmorgan #goodmorningbritain https://t.co/HwZONOUKkD,2021-02-20 17:58:24,1363186254049902595,Binxeeeeee,binxeeeeee,3368484928,,,"Proud mummy to an Angel 😇 

https://t.co/3ZFGZwLKb0…  

No animals left to freeze to death ❤",False,19,143,752,578,0,2015-07-10 00:11:03,https://pbs.twimg.com/profile_images/1352018193531990016/IW2_7YFw_normal.jpg,True,False
29,"RT @beltrandelrio: Alguien que reta permanentemente al coronavirus no usando cubrebocas, tarde o temprano se va a contagiar y va contagiar…",2021-02-20 17:58:23,1363186251977875458,Jorge Pelaez,jpelaez,19397626,"Cancun, Mexico",https://t.co/xG9TK2xMnt,"Profesional del #marketingdigital #disenografico #fotografia y #drones.
Amante de #cancun",False,1184,1601,993,8746,95,2009-01-23 15:14:37,https://pbs.twimg.com/profile_images/688397327518728192/gS60gr0j_normal.jpg,False,False
30,"RT @OmanReagan: @BCGovNews ""Based on the current projections, the current pandemic controls may not be enough to fully control the variants…",2021-02-20 17:58:22,1363186247439585281,BC Think Tank 🤔: Covid Chapter,COVIDUpdate2020,1232884642363006976,"British Columbia, Canada",,"Former Senior Communications Advisor for the govts of BC, NWT and Canada. #ZeroCOVID is the way. #bcpoli #bced #COVID19 #Resistance",False,12189,12058,83406,23702,19,2020-02-27 04:26:39,https://pbs.twimg.com/profile_images/1233672888974135297/maiGU3Mz_normal.jpg,True,False
31,RT @jsolomonReports: Johns Hopkins doc: U.S. may hit COVID herd immunity ‘by April’ | Just The News https://t.co/ZkvoaW3BZw,2021-02-20 17:58:22,1363186246865068032,President Elect Bronwyn,bronwyn1140,2492877258,,,"“I tell you truth, if anyone says to the mountain, ‘Go, throw yourself into the sea,’ not doubting in his heart but believing, it will be done for him.""",False,4647,5027,174795,225311,21,2014-05-13 12:13:26,https://pbs.twimg.com/profile_images/530568832520179712/lBc1f_I4_normal.jpeg,True,False
32,"RT @beltrandelrio: Alguien que reta permanentemente al coronavirus no usando cubrebocas, tarde o temprano se va a contagiar y va contagiar…",2021-02-20 17:58:22,1363186244428001280,Tan sólo un Inge,ingercivil_85,589119736,,,"Algún día tu y yo iremos a donde siempre hemos querido, a hacer lo que siempre hemos pensado .......",False,239,698,133833,16928,0,2012-05-24 13:22:56,https://pbs.twimg.com/profile_images/987854137474932743/nsZyVMLQ_normal.jpg,False,False
33,https://t.co/RqHRROl5LT,2021-02-20 17:58:21,1363186243488665608,Pol Treeskin,DeluxpolX,3050052790,,,,False,2,38,220,279,0,2015-02-21 15:40:05,https://pbs.twimg.com/profile_images/569210764209057792/YZAKY_iI_normal.jpeg,False,False
34,RT @TorontoFarmEN: The explosive for today: Broad discussion as a goal: Prof. Roland Wiesendanger has published a study in which he sheds l…,2021-02-20 17:58:20,1363186237130092547,ChrisT,TransportChris,476953217,Newcastle upon-Tyne,,"Transport Planning student interested in all things Transport, and fan of Newcastle",False,1421,5001,138068,6726,6,2012-01-28 17:35:58,https://pbs.twimg.com/profile_images/3292444048/9bd5767d6cd03b95b2b53d43b0ae14a1_normal.jpeg,False,False
35,"RT @beltrandelrio: Alguien que reta permanentemente al coronavirus no usando cubrebocas, tarde o temprano se va a contagiar y va contagiar…",2021-02-20 17:58:20,1363186237092335622,Jose Antonio,pepepintos,70594604,,https://t.co/afPKGXQHPS,ANTIMARXISTA.,False,1455,1278,24974,85256,19,2009-09-01 04:12:43,https://pbs.twimg.com/profile_images/1100636170730393600/6l87F9DX_normal.jpg,False,False
36,RT @Independent: Italy marks one year since first native Covid case https://t.co/3IT3OIH16q,2021-02-20 17:58:19,1363186234902917123,William McGowan,WilliamMcGowa15,2536670344,Belfast,,,False,1628,2716,137606,161023,6,2014-05-09 06:52:22,https://pbs.twimg.com/profile_images/892441715872866304/2JM6P2F__normal.jpg,True,False
37,"RT @beltrandelrio: Alguien que reta permanentemente al coronavirus no usando cubrebocas, tarde o temprano se va a contagiar y va contagiar…",2021-02-20 17:58:19,1363186232751230981,ALFONSO,INCOGNITOS8888,553066214,,,Critico del engaño de la T de 4ta,False,1256,2705,38164,12216,0,2012-04-13 22:51:04,https://pbs.twimg.com/profile_images/1339197240984866816/WepADpPD_normal.jpg,True,False
38,"RT @Mojahedineng: More than 218,200 people have died of the novel #coronavirus in 480 cities checkered across all of #Iran's 31 provinces,…",2021-02-20 17:58:19,1363186232684085249,Fazlollah Shahne,FShahne,1268627035469090816,,,,False,79,11,9012,8997,0,2020-06-04 19:34:03,https://pbs.twimg.com/profile_images/1277309752398295040/cilXnS2F_normal.jpg,True,False
39,https://t.co/tnyyyAtoj7,2021-02-20 17:58:18,1363186229508988928,Mary Jo Kilroy,MaryJoKilroy,15281574,"Columbus, Ohio",,"Neighbor, Volunteer, Attorney, Former Member of Congress",False,5127,3417,4653,15481,267,2008-06-30 19:30:41,https://pbs.twimg.com/profile_images/458295275052752896/U4DlqRqr_normal.png,True,False
40,RT @CapitanBitcoin: Andalucía ya tiene superávit récord de 3.159M€ (un +166% incluso con coronavirus). Son las mejores cifras económicas de…,2021-02-20 17:58:18,1363186229353865219,Ramón Albert,RamnAlbert2,1340961870887481347,,,"libertad, para elegir y opinar",False,81,426,2528,2339,1,2020-12-21 10:07:03,https://pbs.twimg.com/profile_images/1340962207752970240/NIxPNl49_normal.jpg,True,False
41,"RT @beltrandelrio: Alguien que reta permanentemente al coronavirus no usando cubrebocas, tarde o temprano se va a contagiar y va contagiar…",2021-02-20 17:58:18,1363186228858785794,LORE 🌷,LORE_LOR,237031036,México,,AMÉRICA... BARÇA... TOROS... YANKEES... 49'ERS... FEDERER... TULIPANES... AMO MI HERMOSA TIERRA TAURINA: TLAXCALA ❤️ (NOVIEMBRE).,False,1863,2781,84377,91375,41,2011-01-11 22:46:44,https://pbs.twimg.com/profile_images/1362181177260400648/bkr3N_4A_normal.jpg,False,False
42,"Covid-19 Test Centre, Brooms Road, Dumfries. Here's some info on what to expect at a walk-through test centre.… https://t.co/W4TqqGACpN",2021-02-20 17:58:18,1363186228800192513,D&G Council,dgcouncil,112461079,Dumfries and Galloway,http://t.co/NdJCCVeY13,"Official account of Dumfries and Galloway Council, monitored Monday to Friday between 9am and 5pm.",True,11017,312,1109,7200,212,2010-02-08 15:46:56,https://pbs.twimg.com/profile_images/1304437462077448193/EJ2MCCQ9_normal.jpg,False,False
43,"RT @MarshallProj: COVID-19 cases among prisoners rose another one percent last week, to nearly 381,400. The death toll now is at least 2,41…",2021-02-20 17:58:18,1363186227239931904,ces,ces2828,43430069,,,,False,106,1105,6764,6452,1,2009-05-29 23:01:53,https://pbs.twimg.com/profile_images/1227727073961267201/gOhKSpRu_normal.jpg,True,False
44,"RT @beltrandelrio: Alguien que reta permanentemente al coronavirus no usando cubrebocas, tarde o temprano se va a contagiar y va contagiar…",2021-02-20 17:58:17,1363186226581229568,Mónica,monhivi,152248678,México,,,False,314,984,2707,18134,1,2010-06-05 13:31:15,https://pbs.twimg.com/profile_images/1093556727214149632/4Uhw3R0J_normal.jpg,True,False
45,https://t.co/8RX1DYDNts,2021-02-20 17:58:17,1363186223343431680,Carlos Alberto Jr,bbetinho13,148336574,,,"Personal Trainer
Professor de educação física
Ex- atleta de basquete",False,486,2477,96203,52167,3,2010-05-26 12:57:51,https://pbs.twimg.com/profile_images/1315431014731329538/DO5zIgVH_normal.jpg,False,False
46,RT @ministeriosalud: Recuerda que el uso correcto de la mascarilla es cubriendo la nariz y boca en todo momento. Mantengamos las medidas de…,2021-02-20 17:58:16,1363186222965919748,Francisco Augusto Reyes Borsotto,PanchoRBorsotto,2291471965,Osorno - Puerto Montt. ,https://t.co/MKOpzrreuh,"Vive, siente, ama y respeta 🍃/
Procura sembrar alegría y amor ❤

@dos_segegob @segegobloslagos @Gobiernodechile #TeamTD #CarpeDiem #AnimalLover 🐣 #DeDerecha ⏩",False,3230,3740,45651,40096,7,2014-01-14 17:41:05,https://pbs.twimg.com/profile_images/1353540311453204480/n6eTCTZm_normal.jpg,False,False
47,@DaveShorrock In case you want a Sturgeon stooshie... https://t.co/BoehXyRUlv,2021-02-20 17:58:16,1363186221414027266,Matt Donlan,MrMattDonlan,133771554,"Edinburgh, Scotland",https://t.co/H5NvFzrSb3,,False,1960,1174,13272,76500,37,2010-04-16 15:48:24,https://pbs.twimg.com/profile_images/1344758979491221505/4wobNETq_normal.jpg,False,False
48,RT @HaftaiH: “The U.N. humanitarian agency...said  in a new report that 🇪🇹n defense forces continue to occupy a hospital in the town of Abi…,2021-02-20 17:58:15,1363186218327015426,OKya,OKya20396041,1329501999549865988,,,Nothing,False,11,59,36,104,0,2020-11-19 19:09:47,https://pbs.twimg.com/profile_images/1329502405868838913/K6yRYLGZ_normal.jpg,True,False
49,"RT @Mippcivzla: 📌 𝙄𝙣𝙛𝙤́𝙧𝙢𝙖𝙩𝙚 🧬 

Reduce el riesgo de infección del Coronavirus (Covid-19) con las siguientes medidas  al ir en un vehículo…",2021-02-20 17:58:15,1363186216070492167,#Tuiteroactivo,yasmira_pineda,1338609189988528128,"Zulia, Venezuela",,amor y paz,False,17,138,1943,6214,0,2020-12-14 22:18:07,https://pbs.twimg.com/profile_images/1338677810374828032/1Xl_S15W_normal.jpg,True,False
50,"RT @NewstalkFM: A consultant paediatrician is calling for the allocation of ""massive resources"" to deal with the impact of the coronavirus…",2021-02-20 17:58:15,1363186214862487555,Jimmy Carson☘️🇮🇪,JimmyCarson6,1589497070,,,,False,174,352,9910,10476,4,2013-07-12 21:54:09,https://pbs.twimg.com/profile_images/1159390996859428864/eAZ6MqgE_normal.jpg,True,False
51,RT @marwilliamson: Until governments deal w/ climate change as the existential crisis it is - moving as urgently as we need to in order to…,2021-02-20 17:58:14,1363186213599985664,Sam Adams ~ #BernieOnTheBallot,CapaTosta122,2608043178,,,#Bernie2020,False,9725,8685,213908,424556,360,2014-07-06 18:31:09,https://pbs.twimg.com/profile_images/485856940359032833/M9Vs4X-a_normal.jpeg,True,False
52,"RT @beltrandelrio: Alguien que reta permanentemente al coronavirus no usando cubrebocas, tarde o temprano se va a contagiar y va contagiar…",2021-02-20 17:58:14,1363186212832444423,Alejandro Mendez,Alejand53152999,1317265881844436993,,,,False,30,131,16,6198,0,2020-10-17 00:47:29,https://pbs.twimg.com/profile_images/1317266146601570304/xASJZCwz_normal.jpg,True,False
53,https://t.co/j59G37FHSJ,2021-02-20 17:58:13,1363186209518997509,HoldMyBooks,HoldMyBooks,1310651820080074752,,,,False,127,318,328,948,0,2020-09-28 18:45:32,https://pbs.twimg.com/profile_images/1310658946504499208/axWZ5ewE_normal.jpg,True,False
54,RT @NatGeo: The U.S. is approaching a grim milestone—when half a million Americans will have lost their lives to the coronavirus. How can w…,2021-02-20 17:58:13,1363186209007271936,TheKestrel,Seadoo38,750139158182633472,,,Fußball Fashion & Lifestyle Fernsehen,False,18,79,5235,11423,5,2016-07-05 01:28:07,https://pbs.twimg.com/profile_images/754532066209964032/j_HLEHCK_normal.jpg,True,False
55,RT @CarlosdelRio7: Coronavirus mRNA Vaccine Safety and Efficacy https://t.co/2T7OvDDNFG via @YouTube I spoke to  @JAMANetwork for this exce…,2021-02-20 17:58:13,1363186206780104708,Jessie Clark Jones,AKAJessieCJones,718260258813124608,Anywhere,,Crazy and slow learner of life but fun and honest like hell!,False,215,281,177885,49122,3,2016-04-08 02:12:45,https://pbs.twimg.com/profile_images/719789882076303361/9lEWOpBK_normal.jpg,True,False
56,RT @davidmirandario: Israel controla a Faixa de Gaza e IMPEDIU a entrada de 2 mil doses iniciais da vacina Sputnik V para a população de 2…,2021-02-20 17:58:12,1363186205718896646,Prometheus - o que trouxe o fogo aos homens,fransil,40276078,Do mundo,,,False,96,215,21703,4759,2,2009-05-15 16:32:37,https://pbs.twimg.com/profile_images/1267817707585470475/qgPRkWAF_normal.jpg,False,False
57,"A surprise awaits you on your 2020 income #tax return if you collected ""unemployment benefits"" in 2020.  Remember t… https://t.co/tF9sT0r1Y5",2021-02-20 17:58:12,1363186205068832769,Patricia Villano CPA,PJVCPA,60885118,Northern New Jersey ,http://t.co/DhA5eoXSZK,"Certified Public Accountant / 
Accredited Estate Planner® 
Comprehensive Tax Planning and Accounting Services",False,1638,1639,3194,1918,34,2009-07-28 12:03:33,https://pbs.twimg.com/profile_images/378800000412483423/20520af7687c3166f2a10ac8e1bd4bbe_normal.jpeg,False,False
58,O primeiro-ministro anunciou neste sábado (20) https://t.co/bHTx1xMphp,2021-02-20 17:58:12,1363186204238258177,Portal do Generoso,generosomarcelo,152484640,Manaus-Am,https://t.co/AnhkfKxQY1,Noticias com exclusividade!,False,936,1807,18,26671,6,2010-06-06 02:40:39,https://pbs.twimg.com/profile_images/1116771563964194818/3xH8Hn5Y_normal.png,False,False
59,"RT @pete_dyson: Could @BBCNews add 'Climate Change' as a tab on its website? It's COP26 in Glasgow, there's tonnes of news to collate, ther…",2021-02-20 17:58:12,1363186203722469376,Josie,Josie_McGinn,2634784131,,,,False,8,20,92,3,1,2014-06-23 15:45:50,https://pbs.twimg.com/profile_images/1360381875810877442/1jBlcabU_normal.jpg,False,False
60,"RT @scotgov: Scotland, it’s time to roll up our sleeves. Vaccination is our best way out of coronavirus. When it’s time for you to roll up…",2021-02-20 17:58:11,1363186201981841410,Jim Clark Esq.,JimClark2004,978160640970887168,,,Scottish Grandad to English grandchildren. A retweet probably means I agree.,False,1627,2600,1548,24487,0,2018-03-26 06:44:04,https://pbs.twimg.com/profile_images/1042426191247036419/nH8TliYR_normal.jpg,True,False
61,Pusieron como nueva ministra de salud a la pelotuda que trajo un payaso para informar la cantidad de muertos por co… https://t.co/NkzIle7Jv2,2021-02-20 17:58:11,1363186201906282497,Matt,matyjuez,2936406995,"Córdoba, Argentina",https://t.co/4mxqbmcsnl,Un tipazo,False,465,377,15920,15143,0,2014-12-22 03:32:08,https://pbs.twimg.com/profile_images/1354135413057859585/wGbku5PG_normal.jpg,True,False
62,RT @AgenciaElVigia: El presidente Alberto Fernández excluyó de la comitiva que lo acompañará a México al senador Jorge Taiana y al diputado…,2021-02-20 17:58:11,1363186199188414470,JuaaniPe,JMPerezTomas98,448013435,Quilmes,https://t.co/bKVeHO9i9I,"Donde hay una necesidad nace un derecho.
Pagaran su culpa los traidores.
intento de Politologo. 
Empoderado
Quilmeño.
https://t.co/MaCw2qb205",False,1345,3690,43909,149468,3,2011-12-27 14:28:29,https://pbs.twimg.com/profile_images/960596922187812864/BWG-TWCU_normal.jpg,False,False
